2026-06-26 11:19:42,021 - INFO - Processing bug astropy__astropy-14365
2026-06-26 11:20:12,727 - INFO - ================ localize astropy__astropy-14365 ================
2026-06-26 11:20:12,845 - INFO - prompting with message:

Please review the following GitHub problem description and relevant files, and provide a set of locations that need to be edited to fix the issue.
The locations can be specified as class names, function or method names, or exact line numbers that require modification.

### GitHub Problem Description ###
ascii.qdp Table format assumes QDP commands are upper case
### Description

ascii.qdp assumes that commands in a QDP file are upper case, for example, for errors they must be "READ SERR 1 2" whereas QDP itself is not case sensitive and case use "read serr 1 2". 

As many QDP files are created by hand, the expectation that all commands be all-caps should be removed.

### Expected behavior

The following qdp file should read into a `Table` with errors, rather than crashing.
```
read serr 1 2 
1 0.5 1 0.5
```

### How to Reproduce

Create a QDP file:
```
> cat > test.qdp
read serr 1 2 
1 0.5 1 0.5
<EOF>

 > python
Python 3.10.9 (main, Dec  7 2022, 02:03:23) [Clang 13.0.0 (clang-1300.0.29.30)] on darwin
Type "help", "copyright", "credits" or "license" for more information.
>>> from astropy.table import Table
>>> Table.read('test.qdp',format='ascii.qdp')
WARNING: table_id not specified. Reading the first available table [astropy.io.ascii.qdp]
Traceback (most recent call last):
...
    raise ValueError(f'Unrecognized QDP line: {line}')
ValueError: Unrecognized QDP line: read serr 1 2
```

Running "qdp test.qdp" works just fine.


### Versions

Python 3.10.9 (main, Dec  7 2022, 02:03:23) [Clang 13.0.0 (clang-1300.0.29.30)]
astropy 5.1
Numpy 1.24.1
pyerfa 2.0.0.1
Scipy 1.10.0
Matplotlib 3.6.3



###
### astropy/io/ascii/qdp.py
...
10|from collections.abc import Iterable
11|
12|import numpy as np
13|
14|from astropy.table import Table
15|from astropy.utils.exceptions import AstropyUserWarning
16|
17|from . import basic, core
18|
19|
20|def _line_type(line, delimiter=None):
21|    """Interpret a QDP file line.
22|
23|    Parameters
24|    ----------
25|    line : str
26|        a single line of the file
27|
28|    Returns
29|    -------
30|    type : str
31|        Line type: "comment", "command", or "data"
32|
33|    Examples
34|    --------
35|    >>> _line_type("READ SERR 3")
36|    'command'
37|    >>> _line_type(" \\n    !some gibberish")
38|    'comment'
39|    >>> _line_type("   ")
40|    'comment'
41|    >>> _line_type(" 21345.45")
42|    'data,1'
43|    >>> _line_type(" 21345.45 1.53e-3 1e-3 .04 NO nan")
44|    'data,6'
45|    >>> _line_type(" 21345.45,1.53e-3,1e-3,.04,NO,nan", delimiter=',')
46|    'data,6'
47|    >>> _line_type(" 21345.45 ! a comment to disturb")
48|    'data,1'
49|    >>> _line_type("NO NO NO NO NO")
50|    'new'
51|    >>> _line_type("NO,NO,NO,NO,NO", delimiter=',')
52|    'new'
53|    >>> _line_type("N O N NOON OON O")
54|    Traceback (most recent call last):
55|        ...
56|    ValueError: Unrecognized QDP line...
57|    >>> _line_type(" some non-comment gibberish")
58|    Traceback (most recent call last):
59|        ...
60|    ValueError: Unrecognized QDP line...
61|    """
62|    _decimal_re = r"[+-]?(\d+(\.\d*)?|\.\d+)([eE][+-]?\d+)?"
63|    _command_re = r"READ [TS]ERR(\s+[0-9]+)+"
64|
65|    sep = delimiter
66|    if delimiter is None:
67|        sep = r"\s+"
68|    _new_re = rf"NO({sep}NO)+"
69|    _data_re = rf"({_decimal_re}|NO|[-+]?nan)({sep}({_decimal_re}|NO|[-+]?nan))*)"
70|    _type_re = rf"^\s*((?P<command>{_command_re})|(?P<new>{_new_re})|(?P<data>{_data_re})?\s*(\!(?P<comment>.*))?\s*$"
71|    _line_type_re = re.compile(_type_re)
72|    line = line.strip()
73|    if not line:
74|        return "comment"
75|    match = _line_type_re.match(line)
76|
77|    if match is None:
78|        raise ValueError(f"Unrecognized QDP line: {line}")
79|    for type_, val in match.groupdict().items():
80|        if val is None:
81|            continue
82|        if type_ == "data":
83|            return f"data,{len(val.split(sep=delimiter))}"
84|        else:
85|            return type_
86|
87|
88|def _get_type_from_list_of_lines(lines, delimiter=None):
89|    """Read through the list of QDP file lines and label each line by type.
90|
91|    Parameters
92|    ----------
93|    lines : list
94|        List containing one file line in each entry
95|
...
139|        with open(qdp_file) as fobj:
140|            lines = [line.strip() for line in fobj.readlines()]
141|    elif isinstance(qdp_file, Iterable):
142|        lines = qdp_file
143|    else:
144|        raise ValueError("invalid value of qdb_file")
145|
146|    return lines
147|
148|
149|def _interpret_err_lines(err_specs, ncols, names=None):
150|    """Give list of column names from the READ SERR and TERR commands.
151|
152|    Parameters
153|    ----------
154|    err_specs : dict
155|        ``{'serr': [n0, n1, ...], 'terr': [n2, n3, ...]}``
156|        Error specifications for symmetric and two-sided errors
157|    ncols : int
158|        Number of data columns
159|
160|    Other Parameters
161|    ----------------
162|    names : list of str
163|        Name of data columns (defaults to ['col1', 'col2', ...]), _not_
164|        including error columns.
165|
166|    Returns
167|    -------
168|    colnames : list
169|        List containing the column names. Error columns will have the name
170|        of the main column plus ``_err`` for symmetric errors, and ``_perr``
171|        and ``_nerr`` for positive and negative errors respectively
172|
173|    Examples
174|    --------
175|    >>> col_in = ['MJD', 'Rate']
176|    >>> cols = _interpret_err_lines(None, 2, names=col_in)
177|    >>> cols[0]
178|    'MJD'
179|    >>> err_specs = {'terr': [1], 'serr': [2]}
180|    >>> ncols = 5
181|    >>> cols = _interpret_err_lines(err_specs, ncols, names=col_in)
182|    >>> cols[0]
183|    'MJD'
184|    >>> cols[2]
185|    'MJD_nerr'
186|    >>> cols[4]
187|    'Rate_err'
188|    >>> _interpret_err_lines(err_specs, 6, names=col_in)
189|    Traceback (most recent call last):
190|        ...
191|    ValueError: Inconsistent number of input colnames
192|    """
193|    colnames = ["" for i in range(ncols)]
194|    if err_specs is None:
195|        serr_cols = terr_cols = []
196|
197|    else:
198|        # I don't want to empty the original one when using `pop` below
199|        err_specs = copy.deepcopy(err_specs)
200|
201|        serr_cols = err_specs.pop("serr", [])
202|        terr_cols = err_specs.pop("terr", [])
203|
204|    if names is not None:
205|        all_error_cols = len(serr_cols) + len(terr_cols) * 2
206|        if all_error_cols + len(names) != ncols:
207|            raise ValueError("Inconsistent number of input colnames")
208|
209|    shift = 0
210|    for i in range(ncols):
211|        col_num = i + 1 - shift
212|        if colnames[i] != "":
213|            continue
214|
215|        colname_root = f"col{col_num}"
216|
217|        if names is not None:
218|            colname_root = names[col_num - 1]
219|
220|        colnames[i] = f"{colname_root}"
221|        if col_num in serr_cols:
